Source,Target,Weight,Significant,P_Value,FDR,Interaction,Pcor_SD_PD,Pcor_RP,Spearman_SD_PD,Spearman_RP,Mech_SD_PD,Mech_RP,Is_Stable_SD_PD,Is_Stable_RP,StabFreq_Ctrl,StabFreq_Case
CD4tot,CD8tot,0.34448363195871956,TRUE,0.005497251374312844,0.11177744461102782,Inverted,-0.14643164105289638,0.19805199090582318,-0.4168308471714045,0.17380661062311006,Direct,Direct,TRUE,TRUE,0.951,0.988
PD1EMRA,EFF,0.2505249398894035,TRUE,0.026986506746626688,0.2997667832750291,Specific_SD_PD,0.16699855375650563,-0.08352638613289784,0.21125703564727952,6.674824827152896e-4,Direct,None,TRUE,FALSE,0.979,0.793
CM,NAIVE,0.24603272425800088,TRUE,0.1744127936031984,0.5487256371814093,Specific_SD_PD,-0.28617046461701245,-0.04013774035901157,-0.1340713985619321,0.25917686318131256,Direct,None,TRUE,FALSE,1,0.62
KI67CM,NAIVE,0.24392052661735286,TRUE,0.00399800099950025,0.11177744461102782,Specific_SD_PD,-0.18854476959108532,0.055375757026267534,-0.2567206218249394,0.4088582644108393,Direct,None,TRUE,FALSE,0.99,0.91
KI67NAIVE,NAIVE,0.1917972830396003,TRUE,0.05997001499250375,0.33256099223115715,Specific_SD_PD,0.13875332896379522,-0.05304395407580509,0.3197298057979173,0.260511679644049,Direct,None,TRUE,FALSE,0.996,0.727
neutrophils/lymphocytes,EM,0.1904720461290054,TRUE,0.018490754622688656,0.281984007996002,Specific_SD_PD,0.1336364494246944,-0.056835596704310994,0.15923059036437212,0.17443542214959568,Direct,None,TRUE,FALSE,0.986,0.814
neutrophils/lymphocytes,CD8tot,0.18689878103159635,TRUE,0.07646176911544228,0.3587821473878446,Specific_RP,-0.016694713541492073,-0.20359349457308842,-0.12318228726897458,-0.1597863590619629,None,Direct,FALSE,TRUE,0.535,0.998
CD8tot,EFF,0.17832961602105293,TRUE,0.26936531734132935,0.5710811261036148,Specific_RP,0.06264524039803615,0.24097485641908908,0.4517097429801616,0.5714921588734272,None,Direct,FALSE,TRUE,0.658,0.999
PD1EMRA,CD4tot,0.1776790257122972,TRUE,0.07496251874062969,0.3587821473878446,Specific_SD_PD,0.09660239711115025,-0.08107662860114698,0.09240583527216181,0.21515185359522832,Masked/Suppressor,None,TRUE,FALSE,0.957,0.873
CM,EFF,0.17423883605912094,TRUE,0.08445777111444278,0.3679945741415006,Conserved,-0.427482629552663,-0.25324379349354204,-0.6457453823333413,-0.6717098717724863,Direct,Direct,TRUE,TRUE,1,1
CD137CM,CM,0.1705005265740917,TRUE,0.20539730134932535,0.5708963699968198,Specific_SD_PD,0.21915233384689087,0.048651807272799164,0.362518281518219,0.2626015501825648,Direct,None,TRUE,FALSE,0.981,0.735
KI67NAIVE,KI657EMRA,0.16771458631325878,TRUE,0.035982008995502246,0.31355750696080525,Specific_SD_PD,-0.09793791823298345,0.06977666808027533,0.2353051557685974,0.6094115067190593,Masked/Suppressor,None,TRUE,TRUE,0.957,0.966
neutrophils,CD137CM,0.15929024495708966,TRUE,0.02948525737131434,0.2997667832750291,Specific_SD_PD,-0.11370882358155342,0.04558142137553623,-0.18014088398203298,0.06843979693217661,Direct,None,TRUE,FALSE,0.987,0.685
EFF,KI657EMRA,0.156163473663372,TRUE,0.004497751124437781,0.11177744461102782,Specific_RP,-0.06067185777585553,0.095491615887516465,-0.13612909338452395,-0.16733422340898974,None,Masked/Suppressor,TRUE,TRUE,0.955,0.97
KI67NAIVE,PD1KI67,0.1455767427054463,TRUE,0.1504247876061969,0.5397595319987065,Conserved,0.29517738577896896,0.14960064307352267,0.7090388862812173,0.5483870967741935,Direct,Direct,TRUE,TRUE,1,0.97
PD1KI67,EM,0.14035134840960423,TRUE,0.24687656171914044,0.5710811261036148,Specific_SD_PD,-0.1816289969413447,-0.041277648531740485,0.15744042311353765,0.46696329254727476,Masked/Suppressor,None,TRUE,FALSE,0.999,0.698
KI67CD4,NAIVE,0.13815738088774726,TRUE,0.0544727636181909,0.33256099223115715,Specific_RP,-0.020383049033708252,0.117774331854039,-0.30500046908715645,0.44419719844440625,None,Direct,FALSE,TRUE,0.848,0.979
CD8tot,NAIVE,0.12919782426173093,TRUE,0.2593703148425787,0.5710811261036148,Specific_RP,-0.06337946967154968,-0.1925772939332806,-0.2246927479125622,-0.5763240018071866,None,Direct,FALSE,TRUE,0.786,0.999
CD3tot,EM,0.12631592248952989,TRUE,0.05147426286856572,0.33256099223115715,Specific_RP,-0.027418555972944854,-0.15373447846247473,0.04025712011187662,-0.6398932067630575,None,Direct,FALSE,TRUE,0.734,0.999
KI67NAIVE,CD28KI67,0.12056709342864558,TRUE,0.17391304347826086,0.5487256371814093,Conserved,0.15786906371847392,0.2784361571471195,0.5787202127181056,0.8834260289210234,Direct,Direct,TRUE,TRUE,0.998,1
CD3tot,CD4tot,0.11787710759035852,TRUE,0.28085957021489255,0.5710811261036148,Conserved,-0.5969928334218656,-0.4791157258315071,-0.8053105683786478,-0.7647975077881619,Direct,Direct,TRUE,TRUE,1,1
CD28KI67,KI67CD4,0.11262444725039006,TRUE,0.057971014492753624,0.33256099223115715,Conserved,0.33394100713773095,0.2213165598873409,0.918840311794489,0.829420319941033,Direct,Direct,TRUE,TRUE,1,1
CD3tot,CD8tot,0.11210187984598977,TRUE,0.2723638180909545,0.5710811261036148,Specific_RP,-0.07953123733154002,-0.1916331171775298,0.17188966110563705,-0.35339935681113804,None,Direct,FALSE,TRUE,0.855,0.97
CD8tot,CM,0.11027491325440308,TRUE,0.29685157421289354,0.5841272911931131,Specific_SD_PD,-0.1488278056184384,-0.0385528923640353,-0.35033072234447477,-0.27970628195815966,Direct,None,TRUE,FALSE,0.976,0.73
neutrophils/lymphocytes,PD1KI67,0.10742720178508111,TRUE,0.44427786106946526,0.6947688946224563,Specific_RP,0.04725045477917803,0.15467765656425914,0.19409916058690638,0.3404160661847977,None,Direct,FALSE,TRUE,0.643,0.997
neutrophils/lymphocytes,KI657EMRA,0.10493371416589796,TRUE,0.2193903048475762,0.5710811261036148,Specific_SD_PD,0.09441792339226202,-0.01051579077363595,0.11995121277916738,0.07432131731197152,Direct,None,TRUE,FALSE,0.97,0.557
neutrophils/lymphocytes,CD4tot,0.10337611921012393,TRUE,0.20589705147426288,0.5708963699968198,Specific_RP,0.08355605571467314,0.18693217492479708,0.23679519654751854,0.4848687138406764,None,Direct,FALSE,TRUE,0.927,0.996
CD4tot,EFF,0.10057090649756126,TRUE,0.2353823088455772,0.5710811261036148,Conserved,-0.210167813965083,-0.10959690746752174,-0.469065153665796,-0.11036938139741875,Direct,Direct,TRUE,TRUE,1,0.966
